id,name,text,summary,score
1187,"""Amazon Customer \""ArmyStrongLove\""""","We definitely have picky dogs and it's hard to find something that has longevity or that they like. We're still training our puppies, so these are a great low calorie snack that they seem to really like the flavor of.The only downside for me is the size of each one, they're about dime size. If you have a lab mix with a big mouth you better have a good size handful or she is going to have a handful of your hand in her mouth.Packaging was great, ordered on Prime. They arrived next day which was a relief. It's hard to find anything worth the money with a good value to it. For the price and the amount of snacks you get this is quite the bargain.Definitely a staple for the snack jar!",Nice!,5
1188,MLouise,"These treats have nothing bad in them! For those of you looking for corn-free, wheat-free, hydrogenated oil-free treats, these fit the bill.They are about the size of a nickel, and they break in half easily. And at just under nine calories each (4 cal broken), they are perfect for my Jack Russel who basically gets a treat for every event in his day. After he potties, whenever he comes in from playing, whenever I come in from outside, pretty much any time the door opens & closes he gets a treat. He loves these (& the blueberry ones as well) and I don't feel bad about giving them to him throughout the day.","Healthy, low cal treats",5
1189,Sena929,Bought this for my Rottweiler and she destroyed it the first day. We had bought her another one from Lowes and it held up much better!,Fell apart the first day,1
1190,"""LLN \""booklover\""""","My dog is only interested in it when it contains a frozen peanut butter/oatmeal/yogut treat, but he won't play with it.",Dog not impressed,2
1191,ls31,My cats love to throne on it: oddly enough they don't scratch it. Makes a great rest spot.  A little small for my largest cat:weight around 18 lbs but she does not care. The other fits fine on it (one weighs 12 lbs and the other 9),Cat loves it,5
1192,vivian hershfield,My cat loves it too much.,Four Stars,4
1193,R. Epstein,"I have a nice leather sofa and my dog will get on it if I am not home.  She then scratches it up.  This works really well if I remember to put it on the sofa.  She jumps on it if it is not on the sofa.  I also don't have to turn it on and waste batteries after a while.  It is also fun to mess with friends.  I have shocked a few of them.  One laid down on my sofa after we got home from a bar.  Talk about sobering up fast.  lol  Anyways, while it is not cheap it does work.",These things work well,5
1194,Patricia A. Walker,"This is a second purchase of this rug.  I paid a LOT more the first time at a local Petsmart store.  It really goes a long way in containing the tracking of litter throughout the house.  Great quality, easy to clean.",They don't come better than this.,5
1195,DogLovingFool,"Small bowl, hold water well, and the clip in style make it easy to remove and replace while allowing the dog not to tip it over or pull on it. Large dogs can easily push the bowl down so I would stay with smaller dogs for this purchase.","Works well and holds water, what else can you ask for.",5
1196,Amy Rose,"I love Honest Kitchen. For months now I've spent a lot of time combing through different brands, articles and products with only a few results, and this is one of the best. It might seem expensive to some people, but that big box goes a long way, and considering this is human grade food what more can you ask for for your little guys and gals?One of my kitties adores this (he's a little pig), the other is not as keen and will only eat some if mixed with dry, but he's fussy overall. Maybe if you have a fussy cat try mixing this in with their regular stuff and increasing gradually. I think the texture and quality difference in some cases confuses cats, especially if you're jumping from cheaper brands to this one.Apparently Honest Kitchen has a recipe book which includes their dehydrated foods such as this one.You can mix with warm water or cold and just stir it up, or just stir then leave it sat for 5-10 minutes. Then serve up if your cats haven't already found a way to help themselves. Look at the box for instructions on how much to mix up but if you want to be super safe you can order the small trial size to see if your cats will take to it. I'd persevere purely because of how good quality it is. Cleans off easily as well.I wish they had more products for cats is my only complaint. Prowl and Grace is the only cat food I'm aware of, but Honest Kitchen also do cat treats, I just need to decide if I want to spend that much on treats though.",Amazing quality and smells just like stuffing,5
1197,Sarah,"I've had one of these for my older dog for about 5 yrs. and it is the best lease I've ever had.  The leather ages to a softer feel after a while.  I had to buy this one for Leo my new dog, the retractable gave him too much power over me.  I needed to be the boss.  Excellent leash.",and it is the best lease I've ever had,5
1198,"""Melanie \""lemoniea\""""",I got one of these years ago at Petsmart but have been looking for another for years as I have 3 boxes to scoop. This lets a lot more litter sift through with each pass which makes sifting faster. I ordered a few just in case.,Best litter sifter ever.,5
1199,bristol_mamma,"My pup liked the knots for a few minutes but other than that, nothing. I froze it according to instructions, but it never gets hard and the cold only lasts for about three minutes. No worth the money at all.",Useless...,2
1200,Andrew C. Box,"I realized long after assembling and using the pump for a while that the reason it kept filling up with air is because there was a hairline crack in the top of the pump where the input/output pipes connect that allowed air to be pulled in with the intake.  It has good flow and I think it would be a good filter if it wasn't for this issue.  I waited too long to return it though so I will just have to buy the new part to get it going correctly, silicon isn't working well.Honestly, I find the cheaper power filters like the ones sold at wallie world do as good of a job as more expensive units like this one.  We have an eheim cannister filter for added biological filtration, and a wallie world 20-40 model power filter and our water looks great and fish are healthy in a heavily stocked and planted 30 gallon tank.  I use batting instead of filter cartridges in the power filter to 'polish' the water.","mine arrived with a crack in the top, so hard to say how it's supposed to work",3
1201,Rose City,"""We now have 4 of these wonderful spray cans.  Originally I picked up one to discourage interaction with our Christmas tree.  Then I added to the collection so our little friends would leave closed doors alone at night.  Our doors have enough room for little kitty paws to reach underneath and then pound the door.  This product has solved the problem.One does have to pay attention to where the motion sensor is pointed- otherwise you get lots of unwarranted sprays- but once you get the hang of it, it's simple.It doesn't hurt the cats, it doesn't leave any residue, and it's not much louder than a well-directed hiss.  There is some device out there that sets off a loud alarm: this is NOT that device.Our Christmas tree goes in a corner, so I now use 2 cans, one on each side.  The cats simply learned to walk a 3\"" or better distance from the tree instead of treating it like a challenging cat toy covered cat tree, even when the sprayers are off.The dangers are: someone, or one of your other pets sets off the spray while you're holding a cat- can result in tattered owners.Refills can be ordered in bulk for a little less than $7/can if you shop around.  How long a can lasts depends on how often it is triggered.Overall, awesome!""",The best night time peacemaker and Christmas tree protector,5
1202,D. Bartlett,I would not recommend these since they are a product from China and I am not sure that they have not been sprayed or treated with chemicals.  I won't purchase these again.,Sadly these are from China,1
1203,"""M. G. Florence \""M.G.Florence\""""","My cat loves these cubes and spends much time leaping in them to catch a mouse on a string that I toss into them. Makes me laugh every time. She weighs only five pounds but manages to bend the wires out of shape. I have reshaped them over and over, but eventually just bought some more. Worth the money for the hours of laughter.","Feline favorite, but destructible",5
1204,Daryl Keller,"This is a very very awesome cat tree. You cannot find another of its size in any store anywhere near this price. We have ragdoll kitten right now and he loves this tree. It even looks really nice in our house, not goudy at all. People say that this tree can be flimsy, which when my wife first put it together it was, but when I put a mans strength to twist some of the legs it tightened up pretty well. Looks like its made to last sure hope it does. My cat really likes the mice that are attached to the tree as well.",Everyone that looks at this in our house is impressed,5
1205,"""Sue S \""Sue\""""","The typical pet bed is cloth all over and last maybe 3-6 months depending on how often you throw them in the washing machine. They get disgusting pretty fast because they are on the floor and attract all the dust around it. This design is perfect, and indestructible. When they have accidents you can just wipe it clean. I have 2, one for a cat and another for a small dog. They both love it and use it nearly half the day. I did buy the sheep fleece, but when that goes I plan to just use some old towels or pillows. I'm done buying pet beds every 6 months.",pets love it,5
1206,MyPenName,"I had picked these up at BedBathBeyond for my Pitt Bull who was not even a year old yet at that time. They were way too small. His paw would not even fit down into the footbed. He flopped around in them for a little while, and then he chewed them up. Oh well, at least they kept him occupied for a little while and it was funny to see him with them partially on.",Run way to small,1
1207,Carol,This is a fun toy for one of our dogs who loves the sound it makes. To bad it only makes the noise for about 5 minutes.  I wouldn't buy for a big dog or one that is rough on toys.,The Pig,5
1208,Pinksneakers,"Easy to use, easy to clean up. Shakes out litter perfectly and wipes down as easy. Catches most all of the litter for easy clean up. Not sure how the litter &#34;sticks&#34; to it but it does. It appears covered in little when all around it is littler free. Nice colors and attractive designs",They work,5
1209,Larkhall,One of the very few hard biscuit treat my picky dog will eat. These are very small which is a good size for my dog. I also give her soft treats so Once in a while she's disappointed when she sees it's a hard treat and will refuse it but toss it on the floor and she'll pick it up and eat it so it must taste good.,Small tastey bites,5
1210,JB,"Just love it around the dogs ears, face, etc. and not worry about clipping your pet.  A must have for the novice.",Great product for newbies,5
1211,D. Bartlett,I have several different types of the poop-off products and they all seem to work very well to help get the bird cages clean.,Woks - whichever type you get,5
1212,muddy boots,"My dog loves these, but they're bit big for a training treat and difficult to break.  They're also coated in some kind of powder that gets all over your hands if you carry them in pockets or a treat pouch.",Pretty tasty,4
1213,CG,I have a pit and she has chewed up everything that's claimed to be strong. This one so far is holding up other than some tiny little pieces. If anything gets chewed off it'll be the smaller end but its not at that point yet,Great,4
1214,Po Po,"The cat loved these initially, but soon lost interest, so I'll give them less frequently. She actually prefers her dry Iams cat food to these.",Cat liked them briefly; now ignores them,3
1215,tru2u,"""This is pretty and cute, but my yorkie is pretty short and I need something a little longer to reach her and give her a little bit of room to walk.  I keep it around just in case.  The leash is 48\"" long from tip to tip.  It would keep my yorkie about 2' in front of me and that's it.  I got a clearance leash at walmart that is 71\"" long and it's my favorite.  I have 2 female yorkies and the one on the long leash is always the happiest having a little more freedom.""","Pretty and cute, but not quite long enough for me",3
1216,"""Matthew Gardner \""monster_jester\""""","""Our 100-pound, three-year-old chocolate labrador may be a little big for these \""dental stix.\"" While he's managed them so far, he's used to either raw hide \""bones\"" which are much bigger, or easily chewable treats that are about this size. He seems to want to just chow them down like his regular biscuits, and though he seems to get the idea that it's more like a bone for chewing pretty quick, I worry he'll get too ambitious each time I hand him one and choke. It says to give \""two a day\"" to a dog his size, but while I may not be giving him enough credit, I'm just not sure they're his cup of tea. Probably fine for smaller dogs.""",Not the Best for Big Dogs,3
1217,"""Praline \""Savannah's momma\""""","I couldn't say enough good about these bones! I have 2 large golden retrievers. They are older, southern gentlemen who would never stoop to destructive chewing in the house. Given something to chew however and they have it shredded in seconds. They don't mess with their nylabones ever and I have several. I got one of these in our monthly Barkbox and after 2 days of both goldens chewing on this and there is barely a scratch! One of my goldens once ripped apart a black kong so I know they are heavy chewers. Most importantly ~ they both are chewing it! A bone is only as good as its chew=ability. They love chewing on it!I just ordered 4 more to have as spares!",love this product!!!,5
1218,lynxowner,Works excellent like most all of the Seachem products. We will NOT use any other brand in our many tanks. Seachem is the best!,works great,5
1219,J. Sullivan,"Our dogs have been eating chicken and rice for quite some time now, but they have no problem when I put some Chef Michael's Grilled Sirloin in their bowls. They eat it right up. They seem to look eager when I'm crinkling the bag for the next serving as well.",The Dogs Enjoy It,5
1220,"""Nashville Farrell \""GrayBeard the Pirate\""""","I ordered this sponge as an addendum sponge for myAquaClear 110 Aquarium Power Filter. I don't use carbon or zeolite in my filter so the added sponge is good for some extra bacterial growth and as another layer of mechanical filtration.I was slightly disappointed that the newer AquaClear sponge was obviously made from a different material than my older AquaClear sponge. The newer material is more porous and not nearly as effective at catching particulates. I also think there is less area for bacterial growth as the newer sponge is significantly less dense than my older sponge. I wasn't entirely pleased with the overall quality and hope this is just an issue for one batch of these sponges and not the trend for AquaClear sponges in the future.The sponges do their job, but with a denser sponge they could do their job better. I usually trust Hagen products, but I am concerned with this sponge's decrease in quality and hope this isn't indicative of Hagen products in general.",Not what they used to be,3
1221,J.,"My dog is potty trained, he is also wee wee pad trained so he has the option to go on the the pad if we do not get home on time for his walk. We trained him the day we brought him home when he was 9 weeks old. He is now turning 4 and for some reason started to pee by the entrance of the kitchen (on carpet) which is just a few steps from his wee wee tray and pad. His wee wee pad is always clean (also pooch pads brand) but he still goes on the carpet, the same spot every time. For the past few months, i have been steam cleaning my carpet like crazy and even wound up putting pooch pads by the entrance of the kitchen. I bought the tinkle belt which is also a type of male wrap but it did not work for us. Despite adding a pad to it, it left me with a big mess.. a trail of pee on carpet and a pee soaked dog. I went ahead and purchased the pooch pad in a size small, my dog's waist is 14 inches but the sizing is way off and it would not fit (it was too small). I ordered the medium size and it now fits well. It is a little bulky but it does hold a lot of pee and is leak proof. It is also a little stiff so make sure not to put on your dog too tight so they do not get bruises from the elastic. I am very happy with the purchase, I have reclaimed my apartment (from the dog) and regained my sanity.Update:This male wrap works really well with incontinence pads. I place a pad inside & then just throw it away once it's soiled. This way, I do not have to wash the pads as often (only when it's warranted) and my dog does not soak in pee the whole day.",Regained my sanity!!,5
1222,"""LilDeer \""Maywes2\""""","I give my 14yr-old-dog 4 pills, space out per day, and for him it works.The shipping was great.  If your dog is having joint trouble this really helps butI would also suggest joint supplements in the 500mg range.",This product is Great,5
1223,"""D. M. Smith \""just me\""""","My chihuahua stayed away from inside this pan for the longest time. I kept a pee pad by it to give him a hint. He kept using the pee pads, poohed not far from but not in for months. Finally last night he used it for the first time. He came down to let me know, bouncing all over the bed. I did not get his message at first but in the morning when I cam up I saw he had used it for his pooh for the first time. Later in the day I noticed he had tried to use it to pee as well but missed the inside and pee was on the floor under but I was glad he at least tried.Today I was cleaning the bathroom and picking up the mail and could hear him on the other side of the door where the pan was located. After a while I went in to see. He had again poohed in it so I praised him again and again. He seemed very happy that he knew what it was for finally. It was especially nice because it has been quite cold outside today and promises to be very cold the next several days. He has not really seemed anxious to be outside for long.Thanks for this little pan and a lot of patience, my little chi figured it all out.",took a while patience won,4
1224,Kendra Clayton,"I've had this for about over amonth and with two large dogs have only filled it two additional times.  Love the concept, but one of the things that allows for the lack of filling is how much water is actually in the thing.  It's so heavy that it is difficult to get into the correct position for automatic filling when you've just filled the jug.  But my dogs love it, and I like the convenience, so I'll man up a couple of times a month and get a good arm workout.",A lot less filling but difficult for a smaller person to finagle,4
1225,Scott,"Our five year old Entlebucher sweetheart has moderately floppy ears and has struggled with nasty crusty black yeast infections in her ears.  We would constantly clean them out and tried several other remedies before this.  After only a few days of using this solution, her ears started clearing up and after ten days the yeast was gone and the sores had mostly healed up.  Several weeks later and her ears are still clear.  My only regret is that I didn't find this sooner.",I wish I could give this ten stars,5
1226,"""Michelle Haro \""Michelle\""""","I bought this ball for my 3 year old lab for Christmas.  There are very few balls that keep her interest for very long, but this one was an exception.  She was curious about it, as she is any new toy, but once it began talking she went nuts.  She was so excited and played with this ball for nearly 1 hour non-stop.  She slapped it around the house and chased it.  This is a hard plastic ball, however which could cause damage to items in the house.  Our dog rolled it into furniture and into our walls, so we put a sock around it to prevent any damage.  She became slightly less interested because it did not roll as well, but she still played with it.  She has been playing with it for about 2 months now, regularly, and the voice no longer works.  It may just be that the battery needs replacing.  We have not tried that yet.  She has slightly lost interest in it, but I bet once it talks again she will become more excited.  It has very cute sounds and we love watching her play with it.",My dog loves it!,5
1227,K. B. Cooper,"This product is durable, easy to throw, a great toy, but I just don't find my dogs playing with it that much.  Maybe it is just a little too big for them - they like the 4.5 inch much better.",8-inch jolly ball,3
1228,A. Judnick,It is quite hilarious watching an 80 pound Doberman have a fit over Henrietta.  We only allow him supervised visits with her because she is pretty thin and he could have her destroyed in a matter of seconds.  He loves play time with her though and making her squeal.  Well worth the money for this little gem.,My dog flips out for Henrietta,4
1229,Veil_Lord,"We usually try to make sure we switch the dogs food from time to time.  I'd imagine it gets kind of boring eating the same dry food all the time, even if you get a &#34;real&#34; meal once a day.  So far, the dogs have been quite happy with Iams dog food.  I was a little worried about the healthier one not being eaten, but they still liked it.One of our dogs is way too fat, so this is also a benefit because it's meant for weight management.  I don't think he's lost much weight, but then the wife tends to spoil him too much with treats.  Still, it's at least something small we can do for his health so that's a plus.  No complaints from the humans about product packaging, pouring out the food, or anything else.  Not going to jump for joy or anything, it's just dog food after all, but it passes the &#34;will they eat it&#34; test and the bag isn't irritating, so thumbs up.",Happy Dogs,5
1230,Megz,Our 8 month old shiba inu tore a chunk off of the huck in about one hour.  I'm glad we can return it for a refund.,I'm glad you can get a refund,2
1231,NM Coffee Lover,"I agree with most of the other reviews - for the price this could be much more durable to make cleaning less tenuous, but - it's a neat idea and superior to other product along these lines. A fair priced liner (not the outrageously priced one currently available) would be a nice adjunct to this product. It took my cat no time at all to convert to the 'plant'.",Excellent Idea,4
1232,SeattleMist,"Great, I just rattle the box and Jasper (Yorkie)_ comes running.  I hold out one and he grabs it and takes off to chew it.  I've used them for almost a year and he still loves them.","""Jasper's favorite \""snack and chew for his teeth.""",5
1233,Lovemycavalierpiglet,"Found this on a consumer report website and it had the best reviews.  The ingredients are great and it's one of the best foods out there, but my dog just loves the food he was raised on, his royal canin puppy formula.  Maybe it's the smell and the shape?  Anyway, I swap back and fourth when the bags run out so he's happy and I'm happy :)",Awesome,5
1234,Melundie,"I bought two of these--one for each of my Border Collies in size medium. The size is fine (about the size of 2 medium-sized tennis balls if you put them together). I was disappointed because I wanted to stuff this toy with pieces of cloth and treats so my dogs could &#34;un-stuff&#34; them, but the holes are just too small. Overall the toy seems well built, although it wouldn't stand a chance against a dog who loves to chew. Fortunately mine just want to play fetch with it and it's a good option for in the house because it's light and bounces quite a bit.",Smaller than I thought it would be,4
1235,"""Jamie \""tjamie7\""""",I have used this many times during water changes on my 75 gallon aquarium and it works great! I will always keep a bottle of this around.,"Great Product, Safe, Works Perfect",5
1236,"""FredFloB \""me\""""","I like the orange smell, it is freshthis one you have to put all the way down the back and we have a small dog you have to chase all overthe house to get to do anything so hit and run is faster and better for usI like bio spot but I love the orange one just cost a lot more when you buy it so much",good [no orange smell],3
1237,NA,and I like that it helps with her hairballs.  I mix this with the Maine Coon 31 so she eats quite a bit slower than a normal cat.,Kitty loves this food,4
1238,Lynn Lee Xuan Lin,"I have tried many different products for hip and joint support in dogs. I have tried the petco brand,i have tried higher end pills and then i stumbled upon this product on amazon and decided to give it a go. It smells incredible. My dogs love the taste of it and it actually works!My dog has a bad right hind leg. She used to limp for 3-5 days on average after a long walk outdoors. Ever since i kept her on this product daily, i have seen significant improvement. She is able to walk for longer distances before she feels the strain and starts to limp and she also recovers from limping significantly faster. In fact she stops limping after just 1 night of rest. This product is amazing and i definitely recommend it.After 2 months of daily hip and joint chews,  my dog is so much better now that i only have to give her the chews on days when she has to walk for a long distance or if she plays a lot. She doesn't even need it already.",Proven visible results!,5
1239,ldenenholz,"By far their favorite treat! I break these up into small pieces for training my young whippet mix and she will do almost anything to get her paws on these. My older Cavalier loves to play find the treat with these. Decent price, I bought a smallish bag because I wanted to make sure my girls liked these before I bought a huge tub!",My two girls love these!,4
1240,K. Goetz,This fits nicely between the two front seats and really does keep my full grown Doberman from coming up front.,It works,5
1241,Kevin B,"I own both this and the Python equivalent and it is painfully obvious that the Aqueon is way better made.  The Python leaks horribly at the faucet connection and has snapped apart from the faucet multiple times.  They're basically the same product, but the Aqueon is better quality and so I recommend it.","Get this, not Python",5
1242,Thom,I have a Shih poo with terrible tear stains.  I bought the small bottle to try it the first order.  This is my second order.  I have seen a noticeable improvement.  I bought the larger size this time.,This stuff does work,5
1243,Steven,Another Prime example of the quality and ingredients that goes in to all Seachem products. This is one of the highest rated and highly recommended water conditioners out and for good cause. If you had to have just one single conditioner this should be the one as it does it all and does it all the best. From detoxifying metals to ammonia this stuff alone will almost make bad water good.,Recommended,5
1244,taneshia carr,"popeye, my english bulldog, is a powerful chewer. his okra jack had lasted for over 6 months, so i eagerly ordered the stick. it arrived today and he went to town on it before i could cut it from the cardboard. he pulled and tugged at the rope so much that it wore him out and he took a quick siesta, but lord help the stick when he woke up with his second wind. he couldn't the rope out because of the knot at the other end, so he did the next best thing...attack the rubber. i saw the first blue chunk in an hour and  4 more chunks 15 minutes later. maybe it wouldve lasted longer if i'd played fetch, but he was so content trying to pull the rope out, i figured that would be the first to go and i didn't care about the rope because i could always re-knot it or fill the stick with peanut butter once the rope was gone. oh well, at least he still has his okra jack and he still has the rest of the stick to tear up before i toss it.",it lasted 1 hour,3
1245,"""Kort \""Art, Music, Book & Movie Enthusiast\""""","""I have three cats and offered them a bowl of Nature's Variety Instinct next to a bowl of Hairball Control Meow-Mix. They picked at the Instinct but gobbled up the MM. That may be because they are used to the other and it is more of a \""junk food\"" that they enjoy, but NV promotes this as a tasty alternative to the more common cat foods that include grains. So I'm not sure how tasty it really is. I'm impressed with its nutritive content, but am put off by its rather steep price tag.  One of my three cats actually seems to prefer the Instinct brand so I am fairly sure results will vary from cat to cat.While supposed very healthy for cats, it may not be appetizing to all comers. My plan is to mix it with their regular dry food. You may want to go this route as well, at least at first.3.5 stars.11/06/2013 Update: Well, my cats seems to have \""learned\"" to like this dry food. They now seem to prefer it to the standard dry brands. It's expensive, but it seems to be more healthy so it may be worth the investment.~ Kort""",Healthy But Not As Appetizing,4
1246,Molly,we like chicken that smells and tastes like chicken. This does not at all.  Another bad chicken treat In my opinion,if you want chicken that smells like smoke thi is it,1
1247,barnbum,My dog loves these treats.  We do agility and I use it in training and trials.  He gets so excited when I bring it out.,Great Treat,5
1248,"""Robert Riggs \""The Music Connection Wholesale\""""","Wow, the dogs absolutely love these.  The big dogs like em, the small dogs like em.  They chew them up, and come back begging for more.  Appears to be made from good natural ingredients, and made in USA.  My dogs recommend you purchase these.",Calcibone,5
1249,k,Piece of crap.  CO2 leaks out from around the disk causing large bubbles.  Just makes for an expensive bubbler in the tank.  Doesn't do what it is supposed to do which is produce fine bubbles for CO2 saturation,Piece of crap. CO2 leaks out from around the disk causing ...,1
1250,"""Julie A. Goolia \""jewelz\""""","With nothing in them, dogs WILL generally lose interest, so I soak some kibble in water, mash it up, fill the kongs and then freeze overnight. The 5 in/XL keep them busy for over 30 minutes, I'd expect the 6 in/XXL to last a little bit longer. Although my pits are definitely strong chewers, (I've purchased the black kongs too) with these filled with goodies, and taken away once they're empty, I think they'll last forever anyhow.","Received quickly, my 2 pitbulls love them :)",5
1251,Rhonda Marshall,"Kyjen makes awesome squeaky toys. I gave this to the Little Brown Pup and she loves the bees. Too soon to say whether these will last forever, but if her other Kyjen squeakies are any indication, these will last a good long time.",My dog loves these Bees,5
1252,"""L. Mathias \""Lynda\""""",This Rooster has a nice loud Rooster soundand it seems to be constructed well and holding up nicely.5 Paws from the dog.,Great Rooster,5
1253,"""Blaire E. Simpson \""gardenlover\""""","Beautifully made, love the ramp or stair setup, but our older german shepherd wouldn't use it, so we returned it.  Thank goodness for Amazon Prime!",My dog wouldn't use it,4
1254,ctheham,This is a very nice poncho.  Fits my dog perfectly and keeps him far more dry than otherwise.  It is easy to put on and take off of him and he seems to enjoy wearing it during rain storms.,Great,5
1255,Roy Levow,"This is a good quality product with good size pieces and few crumbs.  However, my dogs are not enthusiastic about it.  They much prefer the liver.",Good quality but the dogs are unenthusiastic,4
1256,caroline,"My dog loves this neon green ball, these balls are really great for larger dogs. He grabs it by the handle and runs around the yard with it. The ball is big, but very durable",Nice !!!!!!!,5
1257,stimply,"So glad we have these now. I've tried a few different clippers for our large dogs (90 and 110 pounds). These are the first ones that they'll allow me to clip them with. What a relief. They are easy to use. They cut through some very thick nails, and they are comfortable to hold.",No more trips to the vet just for trimming,5
1258,MegK,"I was really excited about these, my pup has the nervous habit of licking her paws when she is nervous or during allergy season.  I thought these would be great give her a little traction and keep her from licking.  I couldn't get them on and they were too tight, I measured and they were the correct sized, the next size up would have surely fallen off her feet.  I returned them.",Bummer,2
1259,susands,"This backpack is wonderful.  Unfortunately when you have it on the dog, everyone things the dog is a service dog.  But that is ok.  I use the inner shell without the backpack most of the time.  That handle on the top is the perfect height to grab my large breed (85 lb) puppy if he sees a cat.  It also is useful when we are going uphill.  I hold onto the handle and he pulls me up the hill!  The little elastic bands that hold the straps in place always catch on the velcro and are shredded.  I had to safety pin the straps in place.  I wish those little pieces were not elastic, but some stronger material.  The rest of the backpack is very well made.",great dog pack,5
1260,Colene M. White,"Nothing wrong with the functionality of this cube -- it works, and the dogs have to fool around with it to get the treats out of the side that dispenses.  However, it is hard plastic, and makes a terrible racket on a hard floor.  This has become an outside treat ball just because it is so noisy.",Just too noisy!,3
1261,"""Meg \""Meg's Bazaar\""""","I have to say these balls are great attention grabbers, my two chesapeake's will play for hours on end...however, if you purchase the 10in balls like I did, make sure you have a big enough play area. Not good for indoor play. Also, these balls are not entirely indestructible, though the hard plastic covering holds up very well. My two chessie's have been able to gouge at the surface and even pinch off a few loose pieces. All in all, these are the perfect balls for any big dog that loves to romp around and play hard outside. I rate them 4 stars because the surface can still be damaged by strong chompers, so just keep an eye on your dog when they are playing. My two chessie's are able to destroy anything and everything in sight, nylabone and kongs are no match for them. It actually took them a solid week to finally put a mark in these balls. Impressive by my standards, all things considered!",Keeps them busy but....,4
1262,Tia L. Bailey,I love this idea but the cats so far are not into it.I was going to return it but someone threw thebox away it came in.  I will try some new ways toget my cats interested in it.  I still like the conceptof it and would suggest it to someone with lessthan six cats who of which don't tip it over to getthe treats out.  Maybe weighing the bottom down alittle bit might help with that..,Treat Maze,4
1263,"""Kat \""Fairy Kat\""""","""3 of my 5 cats, the younger ones, absolutely love these mice!  The first thing Max does is eat the tail... obviously a delicacy.  Then he gets to work on chewing off the head... quite violent.  That's when I pick it up, remove the \""internal organs\"" and give him back the hide, which is just as fun to play with.  Fortunately he does not eat that part!  Frankie really gets going with these little guys.  She spears them with a claw and flips it up into the air, and then just sort of stands there... waiting for the attack.  She's a tiny, agile kitty so her movements when she jumps in the air are hysterical!  Yesterday I saw a mouse go flying across the balcony.  That was Rocky's move.  He loves when I throw one in a box.  He jumps in and gets this whole play thing going laying on his side or flipping over onto his back... again, hysterical!!  I will definitely work on getting a video of this!  They make me so happy!  And the price is great!  Saw a box of 20 for $7.59, which is way more expensive.  By the way, the rainbow ones are their favorites too.  Those are a plastic mold with the fur glued on, and have little beads inside that rattle when you shake them.  That's all I have to do to get those 3 precious furry babies to come running.""",OMG~ THEY LOVE THESE!!!,5
1264,"""Tommie \""An expert is a former drip under pres...""","The shallow &#34;plate&#34; is perfect for my finicky cat. She eats far more of her food out of this dish than she ever did when she was eating from a bowl. The non-stick surface makes it easy to clean, too.",No whisker tickling,5
1265,&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;&amp;,These were recommended by a vet office because my dog was allergic to raw hide.  Unfortunately my dog got the runs using this product so we quit.  Other people swear by it.,treats,2
1266,tarotqueen,These are a favorite treat for my dogs. I don't know how well they clean the teeth though. My dog because of his breed has bad teeth.,they love these,5
1267,"""FFJ \""FFJ\""""","""I have two cats with extremely different test buds. They eat two different kinds of food, two different kinds of snacks. The only thing they both agreed upon was how much they hated \""Natural Hairball Aid\""!. I'm all for natural and chemical free products but they need to taste good and be usable!""",No takers!,1
1268,reviewer,"My cat liked these but I can't say they did much to calm him down.  He just doesn't like the other animals in the house and perhaps nothing can help that but these didn't seem to do much to help, although he did enjoy them.",My cat liked but didn't help much with calming,4
1269,kimber,"I have had this for a month.It is pretty huge. My other is a long narrow one.This one is huge.I have a UV bulb in it, and wow does it reflect the light everywhere.Works great and takes the heat.","Strong, Durable, Works Great One Month In",5
1270,Ambar Enterprises,"This toy is great for my five pound dog, It has a squeaker and comes with an extra squeaker if the original one gets chewed up- I really like this toy!",Perfect Size,5
1271,"""Galley Goose \""Space Cadet\""""","I keep these treats in the garage because they have have a rather unpleasant odor to me--but not to my two dogs (an Italian Greyhound & Aussie Shepard).  When I head to the garage from the kitchen and reach for the high shelf, my dogs go bonkers, knowing that a trachea is on the menu.  We then head to the backyard--and the dogs split up so they don't have to share their spoils!  The dogs are somewhat thirsty afterwards but it doesn't upset their digestion or bowel movements.  I will buy more!",A Real Treat for My Pooches!,5
1272,S. Garrett,"""I bought this pack of filters to go with my \""Drinkwell Original Pet Fountain\"". However: I didn't read the other reviews carefully enough and found out that they're too tall. The \""original\"" model takes shorter filters.These are the right width, but an inch too tall. Cutting them isn't effective, as all of the carbon will fall out.  However, I just took the refill lid off the fountain and let it stick out.  I'll continue using these, and will get the right kind next time. Bonus: the cats seem to prefer to drink out of the now-open top.""","Good filters, but get the right kind",5
1273,memgrace,"I always have this product in the pantry for my 3 kitties. It is a quality product, reasonably priced and my kittiies enjoy it very much.",Purina Gravy Sensations,5
1274,Debra plankers,Not the size way to small and I always order large this is more like an extra small love the lettering but way to small fix your sizing.,Not the large size at all!,1
1275,Jimmy W. Ford,My German Shepherd gives this a definite thumbs up.  Very durable.  She is 82 pounds and she has been chewing on it for over a month and still has not chewed it up yet.  It is still in good shape.  She loves it. One of her favorite toys. Highly highly recommended.,Perfect Dog Toy,5
